"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-01",,"43","33",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-02",,"47","40","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-03",,"41","35","    1",,,"    1",,,,,,,,"    1",,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-04",,"39","29","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-05",,"50","36","    1",,,,,,,"    1",,,"    1","    1",,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-06",,"44","31",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-07",,"35","26",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-08",,"46","35",,,,,,,,,,,,,,,,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-09",,"61","40",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-10",,"50","42",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-11",,"54","40","    1","    1",,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-12",,"59","46",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-13",,"54","41","    1","    1",,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-14",,"57","33","    1",,"    1",,,,,,,,"    1",,,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-15",,"34","17","    1",,,,,,,,,,,,,,,"    1",,"    1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-16",,"33","17",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-17",,"45","28","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-18",,"61","38","    1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-19",,"48","35",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-20",,"61","42",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-21",,"64","39",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-22",,"42","34",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-23",,"44","36","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-24",,"47","35",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-25",,"44","35",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-26",,"36","27",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-27",,"44","25",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-28",,"58","38",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-29",,"53","40","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-30",,"63","41","    1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01-31",,"45","39","    1",,,,,,,,,,"    1","    1",,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-01",,"42","37",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-02",,"51","38",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-03",,"63","45","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-04",,"56","43","    1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-05",,"55","39","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-06",,"40","35",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-07",,"44","33",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-08",,"37","30",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-09",,"37","25",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-10",,"38","28",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-11",,"38","30","    1",,,,,,,,"    1",,"    1",,,,,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02-12",,"30","24","    1","    1","    1",,,,,"    1","    1",,,,,,,"    1",,
